model_a,model_b,g05_fraction,metric,paired_seed_count,paired_seeds,delta_b_minus_a_mean,delta_b_minus_a_std,improvement_b_over_a_mean,improvement_definition
g05_sign_only,g05_full_reconstruction,0.0,mean_position_mae,1,43,0.0,,-0.0,positive means model_b is better; sign is reversed for error/loss metrics
g05_sign_only,g05_full_reconstruction,0.0,position_error_1,1,43,0.0,,-0.0,positive means model_b is better; sign is reversed for error/loss metrics
g05_sign_only,g05_full_reconstruction,0.0,position_error_2,1,43,0.0,,-0.0,positive means model_b is better; sign is reversed for error/loss metrics
g05_sign_only,g05_full_reconstruction,0.0,mean_position_3d_error,1,43,0.0,,-0.0,positive means model_b is better; sign is reversed for error/loss metrics
g05_sign_only,g05_full_reconstruction,0.0,charge_mae_q1,1,43,0.0,,-0.0,positive means model_b is better; sign is reversed for error/loss metrics
g05_sign_only,g05_full_reconstruction,0.0,charge_mae_q2,1,43,0.0,,-0.0,positive means model_b is better; sign is reversed for error/loss metrics
g05_sign_only,g05_full_reconstruction,0.0,charge_magnitude_mae,1,43,0.0,,-0.0,positive means model_b is better; sign is reversed for error/loss metrics
g05_sign_only,g05_full_reconstruction,0.0,relative_sign_accuracy,1,43,0.0,,0.0,positive means model_b is better; sign is reversed for error/loss metrics
g05_sign_only,g05_full_reconstruction,0.1,mean_position_mae,1,43,-0.005690440535545349,,0.005690440535545349,positive means model_b is better; sign is reversed for error/loss metrics
g05_sign_only,g05_full_reconstruction,0.1,position_error_1,1,43,-0.01294928789138794,,0.01294928789138794,positive means model_b is better; sign is reversed for error/loss metrics
g05_sign_only,g05_full_reconstruction,0.1,position_error_2,1,43,-0.011852860450744629,,0.011852860450744629,positive means model_b is better; sign is reversed for error/loss metrics
g05_sign_only,g05_full_reconstruction,0.1,mean_position_3d_error,1,43,-0.012401074171066284,,0.012401074171066284,positive means model_b is better; sign is reversed for error/loss metrics
g05_sign_only,g05_full_reconstruction,0.1,charge_mae_q1,1,43,-0.002177595093846324,,0.002177595093846324,positive means model_b is better; sign is reversed for error/loss metrics
g05_sign_only,g05_full_reconstruction,0.1,charge_mae_q2,1,43,-0.00379865090548992,,0.00379865090548992,positive means model_b is better; sign is reversed for error/loss metrics
g05_sign_only,g05_full_reconstruction,0.1,charge_magnitude_mae,1,43,-0.00456218421459198,,0.00456218421459198,positive means model_b is better; sign is reversed for error/loss metrics
g05_sign_only,g05_full_reconstruction,0.1,relative_sign_accuracy,1,43,-0.0030000000000000027,,-0.0030000000000000027,positive means model_b is better; sign is reversed for error/loss metrics
g05_sign_only,g05_full_reconstruction,0.1,global_sign_bce,1,43,-0.0010535736422750963,,0.0010535736422750963,positive means model_b is better; sign is reversed for error/loss metrics
g05_sign_only,g05_full_reconstruction,0.1,global_sign_accuracy,1,43,-0.0010000000000000009,,-0.0010000000000000009,positive means model_b is better; sign is reversed for error/loss metrics
g05_sign_only,g05_full_reconstruction,0.1,absolute_sign_accuracy,1,43,-0.0025000000000000577,,-0.0025000000000000577,positive means model_b is better; sign is reversed for error/loss metrics
g05_sign_only,g05_full_reconstruction,0.1,signed_pair_accuracy,1,43,-0.0040000000000000036,,-0.0040000000000000036,positive means model_b is better; sign is reversed for error/loss metrics
g05_sign_only,g05_full_reconstruction,0.25,mean_position_mae,1,43,-0.005236797034740448,,0.005236797034740448,positive means model_b is better; sign is reversed for error/loss metrics
g05_sign_only,g05_full_reconstruction,0.25,position_error_1,1,43,-0.007957428693771362,,0.007957428693771362,positive means model_b is better; sign is reversed for error/loss metrics
g05_sign_only,g05_full_reconstruction,0.25,position_error_2,1,43,-0.013336002826690674,,0.013336002826690674,positive means model_b is better; sign is reversed for error/loss metrics
g05_sign_only,g05_full_reconstruction,0.25,mean_position_3d_error,1,43,-0.010646715760231018,,0.010646715760231018,positive means model_b is better; sign is reversed for error/loss metrics
g05_sign_only,g05_full_reconstruction,0.25,charge_mae_q1,1,43,-0.004949506849050517,,0.004949506849050517,positive means model_b is better; sign is reversed for error/loss metrics
g05_sign_only,g05_full_reconstruction,0.25,charge_mae_q2,1,43,-0.00791366213560106,,0.00791366213560106,positive means model_b is better; sign is reversed for error/loss metrics
g05_sign_only,g05_full_reconstruction,0.25,charge_magnitude_mae,1,43,0.0009185001254081726,,-0.0009185001254081726,positive means model_b is better; sign is reversed for error/loss metrics
g05_sign_only,g05_full_reconstruction,0.25,relative_sign_accuracy,1,43,-0.0020000000000000018,,-0.0020000000000000018,positive means model_b is better; sign is reversed for error/loss metrics
g05_sign_only,g05_full_reconstruction,0.25,global_sign_bce,1,43,0.0015167845902836347,,-0.0015167845902836347,positive means model_b is better; sign is reversed for error/loss metrics
g05_sign_only,g05_full_reconstruction,0.25,global_sign_accuracy,1,43,0.007000000000000006,,0.007000000000000006,positive means model_b is better; sign is reversed for error/loss metrics
g05_sign_only,g05_full_reconstruction,0.25,absolute_sign_accuracy,1,43,0.007000000000000006,,0.007000000000000006,positive means model_b is better; sign is reversed for error/loss metrics
g05_sign_only,g05_full_reconstruction,0.25,signed_pair_accuracy,1,43,0.006000000000000005,,0.006000000000000005,positive means model_b is better; sign is reversed for error/loss metrics
g05_sign_only,g05_full_reconstruction,0.5,mean_position_mae,1,43,-0.0010953247547149658,,0.0010953247547149658,positive means model_b is better; sign is reversed for error/loss metrics
g05_sign_only,g05_full_reconstruction,0.5,position_error_1,1,43,-0.0076563358306884766,,0.0076563358306884766,positive means model_b is better; sign is reversed for error/loss metrics
g05_sign_only,g05_full_reconstruction,0.5,position_error_2,1,43,0.005812942981719971,,-0.005812942981719971,positive means model_b is better; sign is reversed for error/loss metrics
g05_sign_only,g05_full_reconstruction,0.5,mean_position_3d_error,1,43,-0.0009216964244842529,,0.0009216964244842529,positive means model_b is better; sign is reversed for error/loss metrics
g05_sign_only,g05_full_reconstruction,0.5,charge_mae_q1,1,43,0.003320992752909646,,-0.003320992752909646,positive means model_b is better; sign is reversed for error/loss metrics
g05_sign_only,g05_full_reconstruction,0.5,charge_mae_q2,1,43,0.003611228719353682,,-0.003611228719353682,positive means model_b is better; sign is reversed for error/loss metrics
g05_sign_only,g05_full_reconstruction,0.5,charge_magnitude_mae,1,43,-0.002293318510055542,,0.002293318510055542,positive means model_b is better; sign is reversed for error/loss metrics
g05_sign_only,g05_full_reconstruction,0.5,relative_sign_accuracy,1,43,-0.0010000000000000009,,-0.0010000000000000009,positive means model_b is better; sign is reversed for error/loss metrics
g05_sign_only,g05_full_reconstruction,0.5,global_sign_bce,1,43,0.006188625143368057,,-0.006188625143368057,positive means model_b is better; sign is reversed for error/loss metrics
g05_sign_only,g05_full_reconstruction,0.5,global_sign_accuracy,1,43,-0.0050000000000000044,,-0.0050000000000000044,positive means model_b is better; sign is reversed for error/loss metrics
g05_sign_only,g05_full_reconstruction,0.5,absolute_sign_accuracy,1,43,-0.00550000000000006,,-0.00550000000000006,positive means model_b is better; sign is reversed for error/loss metrics
